"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","",""
"1er Semestre – Extraordinaria","","","","","","Día
31
Ene.","Día
1
Feb.","Día
2","Día
4
Feb.","Día
5
Feb.","Día
6
Feb.","Día
7
Feb.","Día
8
Feb.","Día
9","Día
11
Feb.","Día
12
Feb.","Día
13
Feb."
"Tit","Cur","Int","Cuat","Acr","Nombre","","","","","","","","","","","",""
"GI","1","","","1 ALEM","Álgebra Lineal y Estructuras Matemáticas","","","","","","","","","","","M",""
"GI","1","","","1 CA","Cálculo","T","","","","","","","","","","",""
"GI","1","","","1 FFT","Fundamentos Físicos y Tecnológicos","","T","","","","","","","","","",""
"GI","1","","","1 FP","Fundamentos de Programación","","","","","","","","M","","","",""
"GI","1","","","1 FS","Fundamentos del Software","","","","T","","","","","","","",""
"GI","2","","","1 EC","Estructura de computadores.","M","","","","","","","","","","",""
"GI","2","","","1 ED","Estructura de Datos.","","","","","","","","T","","","",""
"GI","2","","","1 PDOO","Programación y Diseño Orientado a Objetos.","","","","","","","","","","T","",""
"GI","2","","","1 SCD","Sistemas Concurrentes y Distribuidos.","","","","M","","","","","","","",""
"GI","2","","","1 SO","Sistemas Operativos.","","","","","","","T","","","","",""
"GI","3","","","1 DDSI","Diseño y Desarrollo de Sistemas de Información","","","","","","T","","","","","",""
"GI","3","","","1 FR","Fundamentos de Redes","","","","","","","","","","","","T"
"GI","3","","","1 IG","Informática Gráfica","","","","","","","","","","M","",""
"GI","3","","","1 ISE","Ingeniería de Servidores","","","","T","","","","","","","",""
"GI","3","","","1 MC","Modelos de Computación","","M","","","","","","","","","",""
"GI","","4 IC","","1 CPD","Centros de Procesamiento de Datos","M","","","","","","","","","","",""
"GI","","4 IC","","1 SE","Sistemas Empotrados","","","","M","","","","","","","",""
"GI","","4 IC","","1 TR","Tecnologías de Red","","","","","","","","","","","","T"
"GI","","4 IC","","1 IAH","Implementación de Algoritmos en Hardware","","","","","","M","","","","","",""
"GI","","4 IC","","1 TE","Tecnologías Emergentes","","","","","","","","","","T","",""
"GI","","4 IC","1 II","","Informática Industrial","","","","","","","","T","","","",""
"GI","","4 IS","","1 DBA","Desarrollo Basado en Agentes","","","","M","","","","","","","",""
"GI","","4 IS","","1 DGP","Dirección y Gestión de Proyectos","","","","","","","","","","","","T"
"GI","","4 IS","","1 MDA","Metodologías de Desarrollo Ágil","M","","","","","","","","","","",""
"GI","","4 IS","","1 PGB","Programación Gráfica de Videojuegos","","","","","","M","","","","","",""
"GI","","4 IS","","1 SSO","Seguridad en Sistemas Operativos","","","","","","","","T","","","",""
