"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","",""
"1er Semestre – Extraordinaria","","","","","","Día
31
Ene.","Día
1
Feb.","Día
2","Día
4
Feb.","Día
5
Feb.","Día
6
Feb.","Día
7
Feb.","Día
8
Feb.","Día
9","Día
11
Feb.","Día
12
Feb.","Día
13
Feb."
"Tit","Cur","Int","Cuat","Acr","Nombre","","","","","","","","","","T","",""
"GI","","4 IS","","1 LP","Lógica y Programación","","","","","","","","","","","",""
"GI","","4 CSI","","1 NPI","Nuevos Paradigmas de Interacción","M","","","","","","","","","","",""
"GI","","4 CSI","","1 PL","Procesadores de Lenguajes","","","","","","","","","","","","T"
"GI","","4 CSI","","1 VC","Visión por Computador","","","","M","","","","","","","",""
"GI","","4 CSI","","1 SS","Simulación de Sistemas","","","","","","M","","","","","",""
"GI","","4 CSI","","1 TIC","Teoría de la Información y la codificación","","","","","","","","","","T","",""
"GI","","4 CSI","","1 PTC","Programación Técnica y Científica","","","","","","","","T","","","",""
"GI","","4 SI","","1 BDD","Bases de Datos Distribuidas","","","","","","","","","","","","T"
"GI","","4 SI","","1 IN","Inteligencia del Negocio","M","","","","","","","","","","",""
"GI","","4 SI","","1 RI","Recuperación de  Información","","","","M","","","","","","","",""
"GI","","4 SI","","1 SIG","Sistemas de Información Geográficos","","","","","","","","T","","","",""
"GI","","4 SI","","1 GRD","Gestión de Recursos Digitales","","","","","","","","","","T","",""
"GI","","4 SI","","1 RSC","Redes y Sistemas Complejos","","","","","","T","","","","","",""
"GI","","4 TI","","1 DAI","Desarrollo de Aplicaciones para Internet","","","","","","","","","","","","T"
"GI","","4 TI","","1 IV","Infraestructura Virtual","M","","","","","","","","","","",""
"GI","","4 TI","","1 SPSI","Seguridad y Protección de Sistemas Informáticos","","","","M","","","","","","","",""
"GI","","4 TI","","1 TID","Tratamiento de Imágenes Digitales","","","","","","","","T","","","",""
"GI","","4 TI","","1 CRIM","Compresión y Recuperación de Información Multimedia","","","","","","T","","","","","",""
