"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","",""
"1er Semestre – Ordinaria","","","","","","Día
10
Ene.","Día
11
Ene.","Día
12","Día
14
Ene.","Día
15
Ene.","Día
16
Ene.","Día
17
Ene.","Día
18
Ene.","Día
19","Día
21
Ene.","Día
22
Ene.","Día
23
Ene."
"Tit","Cur","Int","Cuat Acr","","Nombre","","","","","","","","T","","","",""
"GI","","4 IC","1","TR","Tecnologías de Red","","","","","","","","","","","",""
"GI","","4 IC","1","TE","Tecnologías Emergentes","","","","","","","","","","M","",""
"GI","","4 IS","1","DBA","Desarrollo Basado en Agentes","T","","","","","","","","","","",""
"GI","","4 IS","1","DGP","Dirección y Gestión de Proyectos","","","","","","","","T","","","",""
"GI","","4 IS","1","LP","Lógica y Programación","","","","","","T","","","","","",""
"GI","","4 IS","1","MDA","Metodologías de Desarrollo Ágil","","","","T","","","","","","","",""
"GI","","4 IS","1","PGB","Programación Gráfica de Videojuegos","","","","","","","","","","M","",""
"GI","","4 IS","1","SSO","Seguridad en Sistemas Operativos","","","","","","","","","","","","T"
"GI","","4 SI","1","BDD","Bases de Datos Distribuidas","T","","","","","","","","","","",""
"GI","","4 SI","1","GRD","Gestión de Recursos Digitales","","","","","","","","","","M","",""
"GI","","4 SI","1","IN","Inteligencia del Negocio","","","","T","","","","","","","",""
"GI","","4 SI","1","RI","Recuperación de  Información","","","","","","","","T","","","",""
"GI","","4 SI","1","RSC","Redes y Sistemas Complejos","","","","","","","","","","","","M"
"GI","","4 SI","1","SIG","Sistemas de Información Geográficos","","","","","","T","","","","","",""
"GI","","4 TI","1","CRIM","Compresión y Recuperación de Información Multimedia","","","","","","T","","","","","",""
"GI","","4 TI","1","DAI","Desarrollo de Aplicaciones para Internet","T","","","","","","","","","","",""
"GI","","4 TI","1","IV","Infraestructura Virtual","","","","T","","","","","","","",""
"GI","","4 TI","1","SPSI","Seguridad y Protección de Sistemas Informáticos","","","","","","","","T","","","",""
"GI","","4 TI","1","TID","Tratamiento de Imágenes Digitales","","","","","","","","","","","","M"
