"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","","",""
"2º Semestre – Extraordinaria","","","","","","Día
27
Jun.","Día
28
Jun.","Día
29","Día
1
Jul.","Día
2
Jul.","Día
3
Jul.","Día
4
Jul.","Día
5
Jul.","Día
6","Día
8
Jul.","Día
9
Jul.","Día
10
Jul.","Día
11
Jul."
"Tit","Cur","Int","Cuat","Acr","Nombre","","","","","","","","","","","","",""
"GI","1","","","2 ES","Estadística","","","","","","","","T","","","","",""
"GI","1","","","2 IES","Ingeniería, Empresa y Sociedad","M","","","","","","","","","","","",""
"GI","1","","","2 LMD","Lógica y Métodos Discretos.","","","","","","","","","","M","","",""
"GI","1","","","2 MP","Metodología de la Programación.","","","","","","","","","","","","","M"
"GI","1","","","2 TOC","Tecnología y Organización de los Computadores.","","","","M","","","","","","","","",""
"GI","2","","","2 AC","Arquitectura de Computadores.","","","","","","","","","","","","M",""
"GI","2","","","2 ALG","Algorítmica.","","T","","","","","","","","","","",""
"GI","2","","","2 FBD","Fundamentos de Bases de Datos.","","","","T","","","","","","","","",""
"GI","2","","","2 FIS","Fundamentos de Ingeniería del Software.","","","","","","","","M","","","","",""
"GI","2","","","2 IA","Inteligencia Artificial","","","","","","","","","","T","","",""
"GI","","3 CSI","","2 AA","Aprendizaje Automático","","T","","","","","","","","","","",""
"GI","","3 CSI","","2 IC","Ingeniería del Conocimiento","","","","","","","","","","T","","",""
"GI","","3 CSI","","2 MCA","Modelos Avanzados de Computación","","","","","","","","T","","","","",""
"GI","","3 CSI","","2 MH","Metaheurísticas","","","","T","","","","","","","","",""
"GI","","3 CSI","","2 TSI","Técnicas de los Sistemas Inteligentes","","","","","","","","","","","","","T"
"GI","","3 IC","","2 ACAP","Arquitectura y Computación de Altas Prestaciones","","","","T","","","","","","","","",""
"GI","","3 IC","","2 AS","Arquitectura de Sistemas","","","","","","","","T","","","","",""
"GI","","3 IC","","2 DHD","Desarrollo de Hardware Digital","","","","","","","","","","T","","",""
"GI","","3 IC","","2 DSE","Diseño de Sistemas Electrónicos","","T","","","","","","","","","","",""
"GI","","3 IC","","2 SMP","Sistemas con Microprocesadores","","","","","","","","","","","","","T"
"GI","","3 IS","","2 DIU","Diseño de Interfaces de Usuario","","","","","","","","","","T","","",""
"GI","","3 IS","","2 DS","Desarrollo de Software","","","","T","","","","","","","","",""
"GI","","3 IS","","2 DSD","Desarrollo de Sistemas Distribuidos","","","","","","","","T","","","","",""
"GI","","3 IS","","2 SG","Sistemas Gráficos","","","","","","","","","","","","","T"
"GI","","3 IS","","2 SIBW","Sistemas de Información Basados en Web","","T","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","",""
