"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","","",""
"2º Semestre – Ordinaria","","","","","","Día
5
Jun.","Día
6
Jun.","Día
7
Jun.","Día
8","Día
10
Jun.","Día
11
Jun.","Día
12
Jun.","Día
13
Jun.","Día
14
Jun.","Día
15","Día
17
Jun.","Día
18
Jun.","Día
19
Jun."
"Tit","Cur","Int","Cuat","Acr","Nombre","","","","","","","","","","","","",""
"GI","1","","","2 ES","Estadística","","","","","","","","","","","T","",""
"GI","1","","","2 IES","Ingeniería, Empresa y Sociedad","M","","","","","","","","","","","",""
"GI","1","","","2 LMD","Lógica y Métodos Discretos","","","","","","","M","","","","","",""
"GI","1","","","2 MP","Metodología de la Programación","","","M","","","","","","","","","",""
"GI","1","","","2 TOC","Tecnología y Organización de los Computadores","","","","","","","","","","","","","M"
"GI","2","","","2 ALG","Algorítmica","","M","","","","","","","","","","",""
"GI","2","","","2 AC","Arquitectura de Computadores","","","","","","","","","","","M","",""
"GI","2","","","2 FBD","Fundamentos de Bases de Datos","","","","","M","","","","","","","",""
"GI","2","","","2 FIS","Fundamentos de Ingeniería del Software","","","","","","","","","","","","","T"
"GI","2","","","2 IA","Inteligencia Artificial","","","","","","","","M","","","","",""
"GI","","3 CSI","","2 AA","Aprendizaje Automático","","","T","","","","","","","","","",""
"GI","","3 CSI","","2 IC","Ingeniería del Conocimiento","","","","","","","","","","","T","",""
"GI","","3 CSI","","2 MH","Metaheurísticas","","","","","T","","","","","","","",""
"GI","","3 CSI","","2 MCA","Modelos de Computación Avanzada","","","","","","","","","T","","","",""
"GI","","3 CSI","","2 TSI","Técnicas de los Sistemas Inteligentes","","","","","","","","","","","","","T"
"GI","","3 IC","","2 AS","Arquitectura de Sistemas","","","","","","","","","T","","","",""
"GI","","3 IC","","2 ACAP","Arquitectura y Computación de Altas Prestaciones","","","","","T","","","","","","","",""
"GI","","3 IC","","2 DHD","Desarrollo de Hardware Digital","","","","","","","","","","","T","",""
"GI","","3 IC","","2 DSE","Diseño de Sistemas Electrónicos","","","T","","","","","","","","","",""
"GI","","3 IC","","2 SMP","Sistemas con Microprocesadores","","","","","","","","","","","","","T"
"GI","","3 IS","","2 DSD","Desarrollo de Sistemas Distribuidos","","","","","","","","","T","","","",""
"GI","","3 IS","","2 DS","Desarrollo de Software","","","","","T","","","","","","","",""
"GI","","3 IS","","2 DIU","Diseño de Interfaces de Usuario","","","","","","","","","","","T","",""
"GI","","3 IS","","2 SIBW","Sistemas de Información Basados en Web","","","T","","","","","","","","","",""
"GI","","3 IS","","2 SG","Sistemas Gráficos","","","","","","","","","","","","","T"
"GI","","3 SI","","2 ABD","Administración de Bases de Datos","","","","","","","","","","","","","T"
"GI","","3 SI","","2 ISI","Ingeniería de Sistemas de Información","","","T","","","","","","","","","",""
