"CALENDARIO EXÁMENES 2018/2019
GRADO EN INGENIERÍA INFORMÁTICA","","","","","","","","","","","","","","","","",""
"1er Semestre – Ordinaria","","","","","","Día
10
Ene.","Día
11
Ene.","Día
12","Día
14
Ene.","Día
15
Ene.","Día
16
Ene.","Día
17
Ene.","Día
18
Ene.","Día
19","Día
21
Ene.","Día
22
Ene.","Día
23
Ene."
"Tit","Cur","Int","Cuat Acr","","Nombre","","","","","","","","","","","",""
"GI","1","","1","ALEM","Álgebra Lineal y Estructuras Matemáticas","","","","","","","","","","","M",""
"GI","1","","1","CA","Cálculo","","T","","","","","","","","","",""
"GI","1","","1","FP","Fundamentos de Programación","","","","","","","","M","","","",""
"GI","1","","1","FS","Fundamentos del Software","","","","","","M","","","","","",""
"GI","1","","1","FFT","Fundamentos Físicos y Tecnológicos","","","","M","","","","","","","",""
"GI","2","","1","EC","Estructura de computadores.","","","","T","","","","","","","",""
"GI","2","","1","ED","Estructura de Datos.","","","","","","","","","","","","M"
"GI","2","","1","PDOO","Programación y Diseño Orientado a Objetos.","","","","","","","M","","","","",""
"GI","2","","1","SCD","Sistemas Concurrentes y Distribuidos.","","M","","","","","","","","","",""
"GI","2","","1","SO","Sistemas Operativos.","","","","","","","","","","M","",""
"GI","3","","1","DDSI","Diseño y Desarrollo de Sistemas de Información","","","","","","","","T","","","",""
"GI","3","","1","FR","Fundamentos de Redes","","","","","","","","","","","","T"
"GI","3","","1","IG","Informática Gráfica","","","","","","","","","","T","",""
"GI","3","","1","ISE","Ingeniería de Servidores","M","","","","","","","","","","",""
"GI","3","","1","MC","Modelos de Computación","","","","T","","","","","","","",""
"GI","","4 CSI","1","NPI","Nuevos Paradigmas de Interacción","T","","","","","","","","","","",""
"GI","","4 CSI","1","PL","Procesadores de Lenguajes","","","","T","","","","","","","",""
"GI","","4 CSI","1","PTC","Programación Técnica y Científica","","","","","","","","","","","","M"
"GI","","4 CSI","1","TIC","Teoría de la Información y la Codificación","","","","","","T","","","","","",""
"GI","","4 CSI","1","SS","Simulación de Sistemas","","","","","","","","","","M","",""
"GI","","4 CSI","1","VC","Visión por Computador","","","","","","","","T","","","",""
"GI","","4 IC","1","CPD","Centros de Procesamiento de Datos","","","","T","","","","","","","",""
"GI","","4 IC","1","IAH","Implementación de Algoritmos en Hardware","","","","","","","","","","","","M"
"GI","","4 IC","1","II","Informática Industrial","","","","","","T","","","","","",""
"GI","","4 IC","1","SE","Sistemas Empotrados","T","","","","","","","","","","",""
